// _________                                    
// \_   ___ \_______  ____   ____  __ __  ______
// /    \  \/\_  __ \/  _ \ /    \|  |  \/  ___/
// \     \____|  | \(  <_> )   |  \  |  /\___ \ 
//  \______  /|__|   \____/|___|  /____//____  >
//         \/                   \/           \/  
//-----------------------------------------------
// Cronus - Configuração das Habilidades
//-----------------------------------------------

//id,range,hit,inf,pl,nk,max,list_num,castcancel,cast_defence_rate,inf2,maxcount,skill_type,blow_count
// 01 ID
// 02 range
// 03 hit (8- repeated hitting, 6- single-hit)
// 04 inf (0- passive, 1- enemy, 2- place, 4- self, 16- friend, 32- trap)
// 05 pl attributes (0- nothing, 1- water, 2- earth, 3- fire, 4- wind, 5- poison, 6- saint, 7- darkness, 8- sense, 9- immortality)
// 06 nk (0- normal skill, 1-no damage skill, 2-splash damage skill)
// 07 splash/effect range (-1 for screen-wide)
// 08 MaxLv
// 09 Hit frequency (number of hits skill does)
// 10 castcancelled (it is cancelled at 1. Are not cancelled with 0)
// 11 defense-reduction rate during cast.
// 12 inf2 (skill information 2) (1- quest skill,  2- npc skill, 4- wedding skill, 8- spirit skill,
//    16- guild skill, 32- song/dance, 64- ensemble skill, 128- trap (can be targetted),
//    256- skill that damages/targets yourself, 512- skill that cannot be casted on self
//    1024- usable only on party-members, 2048- usable only on guild-mates)
// 13 maxcount: max amount of skill instances to place on the ground when
//    player_land_skill_limit/monster_land_skill_limit is enabled.
// 14 attack type (none, weapon, magic, misc)
// 15 Blowcount (amount of tiles skill knockbacks)

1,0,0,0,0,0,0,9,0,no,0,0,0,none,0	//NV_BASIC#Habilidades Básicas#
457,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_ASSASIN#Espírito do Mercenário#
458,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_BLACKSMITH#Espírito do Ferreiro#
459,0,6,4,0,0x3,-1,1,1,no,0,0x8,0,weapon,0 //BS_ADRENALINE2#Full Adrenalina Pura#
460,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_HUNTER#Espírito do Caçador#
461,9,6,16,0,0x1,0,5,1,yes,0,0x200,0,magic,0	//SL_SOULLINKER#Espírito do Espiritualista#
462,9,6,16,0,0x1,0,7,1,yes,0,0,0,magic,0 //SL_KAIZEL#Kaizel#
463,9,6,16,0,0x1,0,7,1,yes,0,0,0,magic,0 //SL_KAAHI#Kaahi#
464,9,6,16,0,0x1,0,3,1,yes,0,0,0,magic,0 //SL_KAUPE#Kaupe#
465,9,6,16,0,0x1,0,7,1,yes,0,0,0,magic,0 //SL_KAITE#Kaite#
466,0,0,0,0,0,0,7,0,yes,0,0,0,magic,0 //SL_KAINA#Kaina#
467,9,6,1,-2,0,0,7,1,no,0,0,0,magic,2	//SL_STIN#Estin#
468,9,6,1,-2,0,0,7,1,no,0,0,0,magic,0	//SL_STUN#Estun#
469,9,8,1,-2,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//SL_SMA#Esma#
470,9,6,1,0,0x1,0,7,1,no,0,0,0,magic,0 //SL_SWOO#Eswoo#
471,9,6,1,0,0x1,0,3,1,no,0,0,0,magic,0 //SL_SKE#Eske#
472,9,6,1,0,0x1,0,3,1,no,0,0,0,magic,0 //SL_SKA#Eskea#
473,0,0,0,0,0,0,0,0,no,0,0,0,none,0	//SM_SELFPROVOKE##
474,0,0,4,0,0x1,0,10,1,no,0,0x2,0,none,0	//NPC_EMOTION_ON##
475,0,0,4,0,0x1,0,1,1,yes,0,0,0,none,0	//ST_PRESERVE#Preservar#
476,1,6,1,0,0x1,0,5,1,yes,0,0,0,weapon,0	//ST_FULLSTRIP#Remoção Total#
477,0,6,4,0,0x1,0,10,1,no,0,0,0,weapon,0	//WS_WEAPONREFINE#Atualizar Arma#
478,3,6,2,0,0x3,3,10,1,no,0,0,0,none,0	//CR_SLIMPITCHER#Arremessar Poção Compacta#
479,1,6,16,0,0x1,0,5,1,yes,0,0,0,weapon,0	//CR_FULLPROTECTION#Proteção Química Total#
480,5,8,1,0,0,0,5,5,no,0,0,0,weapon,0	//PA_SHIELDCHAIN#Choque Rápido#
481,0,0,0,0,0,0,5,0,no,0,0,0,none,0	//HP_MANARECHARGE#Riqueza Espírito#
482,0,6,4,0,0x1,0,5,1,no,0,0,0,magic,0	//PF_DOUBLECASTING#Lanças Duplas#
483,9,6,2,0,0x1,1,1,1,no,0,0,0,none,0	//HW_GANBANTEIN#Ganbantein#
484,9,6,2,2,0xB1,0,5,1,yes,0,0,0,magic,0	//HW_GRAVITATION#Campo Gravitacional#
485,-2,6,1,-1,0x8,0,10,1,no,0,0,0,weapon,0	//WS_CARTTERMINATION#Choque de Carrinho#
486,0,6,4,0,0x1,0,5,1,no,0,0,0,weapon,0	//WS_OVERTHRUSTMAX#Força Violentíssima#
487,0,6,4,0,0x1,0,5,1,no,0,0,0,none,0	//CG_LONGINGFREEDOM#Grito de Liberdade#
488,0,6,4,0,0x1,1,5,1,no,0,0x40,0,misc,0	//CG_HERMODE#Bastão de Hermod#
489,9,6,1,0,0x41,0,5,1,no,0,0,0,misc,0	//CG_TAROTCARD#Destino nas Cartas#
490,9,8,1,0,0x40,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,misc,0	//CR_ACIDDEMONSTRATION#Bomba Ácida#
491,1,6,2,0,0x1,0,2,1,no,0,0,0,none,0	//CR_CULTIVATION#Cultivar Planta#

493,0,6,4,0,0x1,0,1,1,no,0,0,0,none,0	//TK_MISSION#Missão Tae Kwon Dô#
494,9,6,16,0,0x1,0,5,1,yes,0,0,0,magic,0	//SL_HIGH#Spirit of #
495,0,6,4,0,0x1,0,1,1,no,0,0x8,0,weapon,0	//KN_ONEHAND#Rapidez com Uma Mão#
496,0,6,4,0,0x1,0,1,0,no,0,0x8,0,none,0	//AM_TWILIGHT1#Twilight Alquimia 1#
497,0,6,4,0,0x1,0,1,0,no,0,0x8,0,none,0	//AM_TWILIGHT2#Twilight Alquimia 2#
498,0,6,4,0,0x1,0,1,0,no,0,0x8,0,none,0	//AM_TWILIGHT3#Twilight Alquimia 3#
499,-9,8,4,-1,0,0,1,2,no,0,0x208,0,weapon,0	//HT_POWER#Ataque da Fera#
500,0,6,4,0,0x40,0,5,1,no,0,0,0,misc,0	//GS_GLITTERING##
501,9,6,1,-1,0x50,0,1,1,no,0,0,0,misc,0	//GS_FLING##
502,-9,8,1,-1,0,0,1,3,no,0,0,0,weapon,0	//GS_TRIPLEACTION##
503,-9,6,1,-1,0x8,0,1,1,no,0,0,0,weapon,0	//GS_BULLSEYE##
504,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//GS_MADNESSCANCEL##
505,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//GS_ADJUSTMENT##
506,0,6,4,0,0x1,0,1,1,no,0,0,0,weapon,0	//GS_INCREASING##
507,-9,6,1,8,0,0,1,1,no,0,0,0,weapon,0	//GS_MAGICALBULLET##
508,-9,6,1,-1,0x1,0,1,1,no,0,0,0,weapon,0	//GS_CRACKER##
509,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//GS_SINGLEACTION##
510,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//GS_SNAKEEYE##
511,-9,8,0,-1,0,0,10,2,no,0,0,0,weapon,0	//GS_CHAINACTION##
512,-9,6,1,-1,0,0,10,1,no,0,0,0,weapon,0	//GS_TRACKING##
513,-9,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//GS_DISARM##
514,-9,6,1,-1,0x20,0,5,1,no,0,0,0,weapon,0	//GS_PIERCINGSHOT##
515,-9,8,1,-1,0,0,10,5,no,0,0,0,weapon,0	//GS_RAPIDSHOWER##
516,0,8,4,-1,0x2,3,10,1,no,0,0,0,weapon,0	//GS_DESPERADO##
517,0,6,4,-1,0x1,0,10,1,no,0,0,0,weapon,0	//GS_GATLINGFEVER##
518,2,6,1,-1,0,0,10,1,no,0,0,0,weapon,5	//GS_DUST##
519,-9,6,1,-1,0,0,10,1,yes,0,0,0,weapon,0	//GS_FULLBUSTER##
520,-9,6,1,-1,0x2,1:1:1:2:2:2:3:3:3:4,10,1,no,0,0,0,weapon,0	//GS_SPREADATTACK##
521,-9,6,2,-1,0x40,1,10,1,no,0,0,0,weapon,3	//GS_GROUNDDRIFT##
522,0,0,0,0,0,0,10,1,no,0,0,0,weapon,0	//##
523,9,6,1,-1,0x40,0,10,1,no,0,0,0,weapon,0	//##
524,9,8,1,-1,0x40,0,5,3,no,0,0,0,weapon,0	//##
525,9,8,1,-1,0x6,1,5,-3:-3:-4:-4:-5,yes,0,0,0,weapon,0	//##
526,9,6,1,0,0x50,0,10,1,no,0,0,0,misc,0	//##
527,0,6,4,-1,0,0,5,1,no,0,0,0,weapon,3	//##
528,-1,6,1,-1,0,0,10,1,no,0,0,0,weapon,0	//##
529,7:9:11:13:15,6,2,0,0x1,0,5,1,no,0,0,0,none,0	//##
530,7:9:11:13:15,6,1,-1,0,0,5,1,no,0,0,0,weapon,0	//##
531,0,6,4,0,0x1,0,5,1,no,0,0,0,none,7	//##
532,0,6,4,0,0x1,0,10,1,yes,0,0,0,magic,0	//##
533,0,0,0,0,0,0,10,0,no,0,0,0,none,0	//##
534,9,8,1,3,0,0,10,1:2:3:4:5:6:7:8:9:10,yes,0,0,0,magic,0	//##
535,0,8,4,3,0,0,10,1,yes,0,0,0,magic,0	//##
536,9,8,1,3,0x2,2,5,3,yes,0,0,0,magic,0	//##
537,9,8,1,1,0,0,10,3:4:5:6:7:8:9:10:11:12,yes,0,0,0,magic,0	//##
538,9,6,2,0,0x1,0,10,1,yes,0,0,0,magic,0	//##
539,0,6,4,1,0x2,3,5,1,yes,0,0,0,magic,0	//##
540,9,8,1,4,0,0,10,1:2:2:3:3:4:4:5:5:6,yes,0,0,0,magic,0	//##
541,9,6,4,4,0x2,2:2:3:3:4,5,1,yes,0,0,0,magic,0	//##
542,5:6:7:8:9,8,1,4,0,1,5,1,yes,0,0,0,magic,0	//##
543,0,6,4,0,0x1,0,5,1,yes,0,0,0,none,0	//##
544,-5,6,1,0,0x40,0,10,1,no,0,0,0,weapon,0	//##

1001,9,6,1,-1,0,0,1,1,no,0,0x1,0,weapon,0	//KN_CHARGEATK#Avanço Ofensivo#
1002,0,6,4,0,0x1,0,1,0,no,0,0x1,0,weapon,2	//CR_SHRINK#Submissão#
1003,0,0,0,0,0,0,1,0,no,0,0x1,0,weapon,0	//AS_SONICACCEL#Lâminas Aceleradas#
1004,9,8,1,0,0x8,0,1,1,no,0,0x1,0,weapon,0	//AS_VENOMKNIFE#Faca Envenenada#
1005,1,6,1,0,0x1,0,1,1,no,0,0x1,0,weapon,0	//RG_CLOSECONFINE#Confinamento#
1006,0,6,4,3,0,2,1,1,yes,0,0x1,0,magic,3	//WZ_SIGHTBLASTER#Chama Reveladora Blaster#
1007,0,6,4,0,0x1,0,10,0,no,0,0x1,0,none,0	//SA_CREATECON#Criar Conversor Elemental#
1008,9,6,1,1,0x1,0,1,1,yes,0,0x1,0,magic,0	//SA_ELEMENTWATER#Mudança Elemental - Água#
1009,-9,6,1,0,0,0,1,1,no,0,0x1,0,weapon,3	//HT_PHANTASMIC#Flecha Fantasma#
1010,9,6,1,0,0x1,0,1,0,no,0,0x1,0,misc,0	//BA_PANGVOICE#Voz Dolorosa#
1011,9,6,1,0,0x1,0,1,0,no,0,0x1,0,misc,0	//DC_WINKCHARM#Piscadela#
1012,0,0,0,0,0,0,1,0,no,0,0x1,0,weapon,0	//BS_UNFAIRLYTRICK#Venda Duvidosa#
1013,0,6,4,0,0x3,2,1,0,no,0,0x1,0,weapon,0	//BS_GREED#Ganância#
1014,0,6,4,6,0x3,14,1,0,yes,0,0x1,0,magic,0	//PR_REDEMPTIO#Martírio#
1015,9,6,16,0,0x1,0,1,1,no,0,0x401,0,weapon,0	//MO_KITRANSLATION#Concessão Espiritual#
1016,-1,6,1,-1,0x2,1,1,1,no,0,0x1,0,weapon,5	//MO_BALKYOUNG#Punhos Intensos#
1017,9,6,1,2,0x1,0,1,1,yes,0,0x1,0,magic,0	//SA_ELEMENTGROUND#Mudança Elemental - Terra#
1018,9,6,1,3,0x1,0,1,1,yes,0,0x1,0,magic,0	//SA_ELEMENTFIRE#Mudança Elemental - Fogo#
1019,9,6,1,4,0x1,0,1,1,yes,0,0x1,0,magic,0	//SA_ELEMENTWIND#Mudança Elemental - Vento#

8001,9,6,4,0,0x1,0,5,1,no,0,0,0,magic,0	//HLIF_HEAL#Curaring hand#
8002,0,6,4,0,0x3,-1,5,1,no,0,0,0,none,0	//HLIF_AVOID
8003,0,0,0,0,0,1,5,0,no,0,0,0,none,0	//HLIF_BRAIN
8004,0,6,4,0,0x1,0,3,0,no,0,0,0,none,0	//HLIF_CHANGE
8005,0,6,4,0,0x1,0,5,0,no,0,0,0,none,0	//HAMI_CASTLE
8006,0,6,4,0,0x1,0,5,0,no,0,0,0,none,0	//HAMI_DEFENCE
8007,0,0,0,0,0x1,0,5,0,no,0,0,0,none,0	//HAMI_SKIN
8008,0,6,4,0,0x1,0,3,0,no,0,0,0,none,0	//HAMI_BLOODLUST
8009,1,8,1,0,0,0,5,-1:-2:-2:-2:-3,no,0,0,0,weapon,0	//HFLI_MOON
8010,0,6,4,0,0x1,0,5,0,no,0,0,0,none,0	//HFLI_FLEET
8011,0,6,4,0,0x1,0,5,0,yes,0,0,0,misc,0	//HFLI_SPEED
8012,1,6,1,0,0,0,3,0,no,0,0,0,none,0	//HFLI_SBR44
8013,9,6,1,0,0,0,5,1:2:3:4:5,no,0,0,0,magic,0	//HVAN_CAPRICE
8014,0,6,4,0,0x1,0,5,0,no,0,0,0,none,0	//HVAN_CHAOTIC
8015,0,0,0,0,0x1,0,5,0,no,0,0,0,none,0	//HVAN_INSTRUCT
8016,4,6,4,-1,0xD2,4,3,1,no,0,0,0,misc,0	//HVAN_EXPLOSION

10000,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_APPROVAL#Autorização Oficial#
10001,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_KAFRACONTRACT#Contrato com Kafra#
10002,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_GUARDRESEARCH#Bloqueioian Research#
10003,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_GUARDUP#Bloqueioian Training#
10004,0,0,0,0,0,0,10,0,no,0,0x10,0,none,0	//GD_EXTENSION#Expandir Clã#
10005,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_GLORYGUILD#Glória da Guilda#
10006,0,0,0,0,0,2,1,0,no,0,0x10,0,none,0	//GD_LEADERSHIP#Grande Liderança#
10007,0,0,0,0,0,2,1,0,no,0,0x10,0,none,0	//GD_GLORYWOUNDS#Ferimentos de Glória#
10008,0,0,0,0,0,2,1,0,no,0,0x10,0,none,0	//GD_SOULCOLD#Coração de Frio#
10009,0,0,0,0,0,2,1,0,no,0,0x10,0,none,0	//GD_HAWKEYES#Olhar Apurado#
10010,0,0,4,0,0x3,15,1,0,yes,0,0x10,0,none,0	//GD_BATTLEORDER#Comando de Batalha#
10011,0,0,4,0,0x3,15,3,0,yes,0,0x10,0,none,0	//GD_REGENERATION#Regeneração#
10012,0,0,4,0,0x3,15,1,0,yes,0,0x10,0,none,0	//GD_RESTORE#Restauração#
10013,0,0,4,0,0x3,0,1,0,yes,0,0x10,0,none,0	//GD_EMERGENCYCALL#Chamado Urgente#
10014,0,0,0,0,0,0,1,0,no,0,0x10,0,none,0	//GD_DEVELOPMENT#Desenvolvimento Permanente#
